Serial No,Area Name,Street Name,Latitude,Longitude,Bin Status
1,Tambaram,Muthuranga Mudali Street,12.92801,80.11782,half-full
2,Tambaram,Kakkan Street,12.92614,80.11175,full
3,Tambaram,Siva Shanmugam Street,12.92598,80.11305,half-full
4,Tambaram,Duraiswamy Reddy Street,12.92991,80.11841,full
5,Tambaram,MK Reddy Street,12.92887,80.11961,full
6,Tambaram,Pillaiyar Koil Street,12.92741,80.12045,empty
7,Tambaram,Erikkarai Street,12.93081,80.12975,full
8,Tambaram,Bharat Nagar 1st Street,12.9245,80.1162,half-full
9,Tambaram,Pamila Street,12.9321,80.12301,empty
10,Tambaram,Shantha Nagar 1st Street,12.9232,80.1151,empty
11,Tambaram,Selaiyur Colony Street,12.92175,80.1189,full
12,Tambaram,Irumbuliyur 2nd Street,12.9253,80.1216,full
13,Tambaram,New Market Nagar Cross Street,12.92561,80.1129,full
14,Tambaram,Vinayakarpuram 1st Street,12.93041,80.1285,half-full
15,Tambaram,Hastinapuram 3rd Street,12.9221,80.1241,full
16,Tambaram,West Tambaram Colony Street,12.9289,80.1105,empty
17,Tambaram,Rajaji Nagar 2nd Street,12.9335,80.1253,full
18,Tambaram,Arulmurugan Nagar Street,12.9271,80.1143,full
19,Tambaram,Gandhi Nagar 1st Street,12.9348,80.1208,half-full
20,Tambaram,Periyar Nagar Street,12.92095,80.1168,empty
21,Tambaram,Muthumariamman Koil Street,12.9284,80.1262,full
22,Tambaram,Lakshmi Nagar 2nd Street,12.9312,80.1156,half-full
23,Tambaram,Kamban Street,12.9266,80.1165,full
24,Perungulathur,Perungulathur Koil Street,12.8931,80.0892,half-full
25,Perungulathur,Kamaraj Nagar 1st Street,12.8915,80.0921,empty
26,Perungulathur,MGR Nagar Cross Street,12.8952,80.0864,empty
27,Perungulathur,Bharathi Nagar Street,12.8898,80.0945,full
28,Perungulathur,Murugan Nagar 2nd Street,12.8968,80.0978,full
29,Perungulathur,Annai Velankanni Street,12.8905,80.0838,full
30,Perungulathur,Nethaji Nagar 1st Street,12.8982,80.0911,half-full
31,Perungulathur,Panchayat Back Street,12.8886,80.0962,full
32,Perungulathur,Senthil Kumar Nagar Street,12.8942,80.0819,empty
33,Perungulathur,New Colony 3rd Street,12.9001,80.0939,half-full
34,Perungulathur,Ambedkar Street,12.8872,80.0884,empty
35,Perungulathur,Vinayagar Koil Cross Street,12.8973,80.0851,half-full
36,Perungulathur,Velu Nagar Street,12.8928,80.0987,empty
37,Perungulathur,Rajiv Gandhi Nagar 2nd Street,12.9012,80.0875,full
38,Perungulathur,Kalaignar Nagar Street,12.8861,80.0918,full
39,Perungulathur,Muthamil Nagar Cross Street,12.8961,80.0952,full
40,Perungulathur,Sakthi Nagar 1st Street,12.8849,80.0865,full
41,Perungulathur,Selvi Nagar Street,12.9023,80.0964,full
42,Perungulathur,Anna Nagar 2nd Street,12.8914,80.0805,full
43,Perungulathur,Thangam Nagar Cross Street,12.8988,80.0892,empty
44,Perungulathur,Sundaram Colony Street,12.8838,80.0941,full
45,Perungulathur,Ilavarasan Street,12.8997,80.0828,half-full
46,Perungulathur,Muniandi Koil Street,12.8935,80.0967,half-full
