S. No.,Area,Street / Road Location,Latitude,Longitude,Bin Status
1,Melakottaiyur,"Keelakottiyur Internal Road, Near Sri Kala Bhairavar Temple",12.835573,80.15399,Half-Full
2,Nallambakkam,Nallambakkam Village Main Road (Centre),12.855117,80.144675,Full
3,Melakottaiyur,"SRS Avenue Internal Road, Melakottaiyur",12.848659,80.150373,Full
4,Melakottaiyur,"St. Joseph's Church Road, Melakottaiyur",12.845991,80.14901,Half-Full
5,Nallambakkam,Nallambakkam Village Entry Road (Kelambakkam–Vandalur Rd Junction),12.851268,80.147045,Full
6,Nallambakkam,Nallambakkam Mid-Village East Road (Temple–Panchayat Lane),12.848,80.128,Half-Full
7,Nallambakkam,"Rattinamangalam Road (South Spur), Near Nallambakkam Lake",12.832935,80.131,Half-Full
8,Nallambakkam,"Pillayar Kovil Street, Nallambakkam",12.841787,80.123203,Full
9,Melakottaiyur,"Nellikuppam Road, Near Tamil Nadu Police Quarters",12.835302,80.139942,Half-Full
10,Kandigai,"Kelambakkam–Vandalur Road, Near Hi-Way Snacks",12.850165,80.141085,Half-Full
11,Melakottaiyur,"Kelambakkam–Vandalur Road, Near Sri Meghanatheswarar Temple (opp VIT)",12.841841,80.147608,Full
12,Kandigai,"Vengadamangalam Road, Near Latha Store (No.32)",12.857204,80.143371,Half-Full
13,Kandigai,"Vengadamangalam Road, Vijayshanthi Park Avenue Gate",12.852604,80.141219,Empty
14,Nallambakkam,"Nallambakkam Temple Road, Near Swarna Lingeshwarar Temple",12.848174,80.123521,Empty
15,Melakottaiyur,"Kelambakkam–Vandalur Road, Near Rialto Enterprises (Survey No.100/2)",12.843166,80.15052,Full
16,Kandigai,"Kelambakkam–Vandalur Road, Kandigai Bus Stop",12.851005,80.140648,Empty
17,Melakottaiyur,"Kelambakkam–Vandalur Road, Near Chai Drips Cafe (No.27, Keelakottaiyur)",12.835225,80.156229,Full
18,Melakottaiyur,"Muthumariamman Kovil Street, Near Muthumari Amman Temple",12.847958,80.13956,Full
19,Melakottaiyur,Melakottaiyur Lake Street (Near Lake Road Junction),12.838285,80.142208,Half-Full
20,Nallambakkam,"Rattinamangalam–Nallambakkam Road, Near Unihomes 2 Apartments",12.836687,80.12819,Full
21,Nallambakkam,"Vengadamangalam Road, Near Nallambakkam North Entry",12.8585,80.144,Full
22,Kandigai,Boulevard Vijayshanthi Internal Colony Road,12.853073,80.14229,Empty
23,Kandigai,"Sri Ganapathy Nagar Street, Kandigai (Near Bio Septic Workshop)",12.842732,80.136606,Half-Full
24,Kandigai,"Water Tank Road, Kandigai (Near Overhead Water Tank)",12.846254,80.148518,Full
25,Nallambakkam,"Vengadamangalam Road, South of Perumal Temple Junction",12.863,80.1525,Half-Full
26,Nallambakkam,"Panchayat Office Road, Nallambakkam",12.845159,80.124981,Full
27,Kandigai,"Thulukanathamman Kovil Street, Near Ambika Super Market (No.187)",12.849929,80.14125,Half-Full
28,Melakottaiyur,"Nellikuppam Road, Near MAS Pharmacy (No.318)",12.848691,80.141858,Half-Full
29,Nallambakkam,Nallambakkam West Internal Road (Near Quarry Access Road),12.846,80.12,Half-Full
30,Nallambakkam,Nallambakkam Village School Road (South Village),12.843,80.1255,Empty
31,Nallambakkam,"Krishna Nagar Street, Near Vengadamangalam Perumal Temple",12.8643,80.154794,Empty
32,Melakottaiyur,"Vengadamangalam Road fork, Near Vegai Vanam Forest Area",12.858713,80.149253,Half-Full
33,Nallambakkam,"Vengadamangalam Main Road, Near Rehoboth Stores",12.865075,80.1487,Half-Full
34,Melakottaiyur,"Bajanai Kovil Street, Near Melakottaiyur AG Church",12.849049,80.150194,Half-Full
35,Kandigai,"Vengadamangalam Road, Near Pawar Electricals (No.30)",12.857117,80.14337,Empty
36,Melakottaiyur,"Mosque Street (Nellikuppam Salai), Near Melakottaiyur Masjid (No.84)",12.847452,80.141223,Half-Full
37,Kandigai,"Vijayshanthi Adjacent Lane, Near Siva Fish Tank Service",12.852178,80.140991,Half-Full
38,Kandigai,"Vengadamangalam Road, Near KA.TEX Clothing (No.1/1)",12.85233,80.141075,Empty
39,Melakottaiyur,"Kelambakkam–Vandalur Road, Melakottaiyur Bus Stop",12.84561,80.149037,Half-Full
40,Kandigai,"Munu Adhi Nagar Road, Near Tagore Medical College",12.853918,80.137957,Empty
41,Kandigai,"Kelambakkam–Vandalur Road, Near Melakottaiyur Sub-Post Office",12.851015,80.140156,Empty
42,Melakottaiyur,"Kelambakkam–Vandalur Road, Near Krishna Super Market (No.398)",12.84959,80.141623,Half-Full
43,Nallambakkam,"Vengadamangalam Road, Near Bus Terminus",12.86633,80.159041,Empty
44,Kandigai,"Thulukanathamman Kovil Street, Near Kathir Hospital Junction",12.84959,80.141623,Half-Full
45,Melakottaiyur,"Pillaiyar Koil Street, Near Poliyamman Temple (No.24)",12.843178,80.14774,Half-Full
46,Kandigai,Arohana Avenue Internal Road (R4XP+MQ3),12.849141,80.136933,Full
