OBJECTID,ZONE_CODE,DIV_CODE,AREA_NAME,LOC_NAME,STREET_NAM,BIN_NO,LATITUDE,LONGTITUDE,LONGITUDE_POINT,LATITUDE_POINT,BIN_STATUS
1,W22,CG001,Kandigai,"Kandigai Junction, Kandigai",Kandigai Junction,CHGL-10371,12.824569,80.146718,80.146718,12.824569,Full
2,W27,CG001,Navlur,"Navlur Church Road, Navlur",Navlur Church Road,CHGL-10069,12.859436,80.238019,80.238019,12.859436,Half Full
3,W5,CG003,Urapakkam,"Urapakkam Main Road, Urapakkam",Urapakkam Main Road,CHGL-10520,12.918342,80.096581,80.096581,12.918342,Full
4,W34,CG001,Thiruporur,"Thiruporur Temple Street, Thiruporur",Thiruporur Temple Street,CHGL-10173,12.758584,80.184586,80.184586,12.758584,Full
5,W12,CG001,Padappai,"Padappai Junction, Padappai",Padappai Junction,CHGL-10749,12.952094,80.059814,80.059814,12.952094,Empty
6,W6,CG001,Singaperumal Koil,"Singaperumal Koil Main Road, Singaperumal Koil",Singaperumal Koil Main Road,CHGL-10641,12.822669,80.109474,80.109474,12.822669,Empty
7,W31,CG001,Kelambakkam,"OMR Kelambakkam, Kelambakkam",OMR Kelambakkam,CHGL-10130,12.792593,80.220387,80.220387,12.792593,Full
8,W17,CG001,Guduvanchery,"Guduvanchery Market, Guduvanchery",Guduvanchery Market,CHGL-10579,12.856798,80.052733,80.052733,12.856798,Empty
9,W47,CG001,Thiruporur,"Thiruporur Temple Street, Thiruporur",Thiruporur Temple Street,CHGL-10162,12.758798,80.194052,80.194052,12.758798,Empty
10,W21,CG001,Pallavaram,"GST Road Pallavaram, Pallavaram",GST Road Pallavaram,CHGL-10961,12.98467,80.145355,80.145355,12.98467,Empty
11,W14,CG001,Kandigai,"Kandigai Main Road, Kandigai",Kandigai Main Road,CHGL-10359,12.824632,80.143158,80.143158,12.824632,Full
12,W28,CG001,Singaperumal Koil,"Bus Stand Road, Singaperumal Koil",Bus Stand Road,CHGL-10665,12.836351,80.101822,80.101822,12.836351,Half Full
13,W21,CG001,Chromepet,"Chromepet Main Road, Chromepet",Chromepet Main Road,CHGL-10869,12.966965,80.139686,80.139686,12.966965,Full
14,W23,CG001,Navlur,"Navlur Main Road, Navlur",Navlur Main Road,CHGL-10040,12.850575,80.227735,80.227735,12.850575,Empty
15,W9,CG006,Vandalur,"Vandalur Lake Road, Vandalur",Vandalur Lake Road,CHGL-10263,12.896709,80.083445,80.083445,12.896709,Empty
16,W8,CG007,Perungalathur,"Market Road, Perungalathur",Market Road,CHGL-10835,12.911563,80.107989,80.107989,12.911563,Full
17,W46,CG001,Mambakkam,"Mambakkam Junction, Mambakkam",Mambakkam Junction,CHGL-10327,12.865506,80.106644,80.106644,12.865506,Full
18,W11,CG001,Kelambakkam,"OMR Kelambakkam, Kelambakkam",OMR Kelambakkam,CHGL-10143,12.788481,80.215419,80.215419,12.788481,Empty
19,W21,CG001,Mambakkam,"Mambakkam Junction, Mambakkam",Mambakkam Junction,CHGL-10341,12.867382,80.109279,80.109279,12.867382,Full
20,W46,CG008,Tambaram,"Irumbuliyur Road, Tambaram",Irumbuliyur Road,CHGL-10415,12.922066,80.130304,80.130304,12.922066,Empty
21,W2,CG001,Pallavaram,"GST Road Pallavaram, Pallavaram",GST Road Pallavaram,CHGL-10960,12.984905,80.1473,80.1473,12.984905,Half Full
