S.No,Ujjwal Area Name,Total Bins,Component Areas
1.0,Adambakkam,138,"ADAMBAKKAM, Erukkencherry, GANGAI NAGAR"
2.0,Ambattur,93,"AMBATTUR, AMBATTUR IND ESTATE, AMBATTUR O.T, Ambattur, Ambattur Estate, OLD AMBATTUR, ORAGADAM, THANGAL, THEEYAMBAKKAM, VANAGARAM ROAD"
3.0,Aminjikarai,184,"Aminjikarai, Arumbakkam"
4.0,Anna Nagar,381,"A.N.W.EXTN, ANNA NAGAR, Anna Nagar, Anna Nagar East, Anna Nagar West, Anna Nagar West Extn., Anna Nagar West Extn.,, Shenoy Nagar, Shenoy Nagar West"
5.0,Ashok Nagar,274,"Ashok Nagar, BANU NAGAR, Jafferkhanpet, K.K.Nagar"
6.0,Avadi,98,"KALADIPET, NANDAMBAKKAM, NANDAMPAKKAM, VADAPERUMBAKKAM"
7.0,Ayanavaram,190,"Ayanavaram, THILLAI GANGANAGAR, THILLAIGANGA NAGAR, THIRUVENGADANAGAR"
8.0,Besant Nagar,245,"Adayar, Adyar, Besant Nagar"
9.0,Choolaimedu,159,"Choolaimedu, KRISHNAPURAM, Thirumangalam"
10.0,Egmore,166,"Egmore, Periamet, Vepery"
11.0,Ennore-Manali,192,"ENNORE, KAMARAJAPURAM, KATHIRVEDU, KAVANKARAI, MANALI, S.V.NAGAR, WIMCO NAGAR"
12.0,George Town,300,"Broadway, Gandhi Salai, George Town, Komaleeswaranpet, Mint, RAJAKADAI, Sowcarpet"
13.0,Guindy,136,"ALANDUR, Ekkattuthangal, Guindy"
14.0,Kilpauk,183,"Chetpet, Kilpauk, Pattalam"
15.0,Kodungaiyur,579,"Choolai, Kodungaiyur, Korukkupet, Korukupet, Otteri, Pudupet, Pulianthope, Sembium"
16.0,Kolathur,285,"KORATTUR, Kolathur, NERKUNDRAM, PUDUR"
17.0,Kotturpuram,58,"Kottur, Kotturpuram"
18.0,Koyambedu,183,"DUNLOP GROUND, Koyambedu, NOLAMBUR, Ullagaram, VARADHARAJAPURAM"
19.0,Madhavaram,290,"KK THAZHAI - MADHAVARAM, LAKSHMIPURAM - MADHAVARAM, MADHAVARAM, MADHAVARAM MILK COLONY, MADHAVARAM Milk Colony, MADURA METU PALAYAM -MADHAVARAM, MOOLACHATHIRAM - MADHAVARAM, PONNIAMMANMEDU-MADHAVARAM, VINAYAGAPURAM - MADHAVARAM"
20.0,Madipakkam,137,"Jaladianpet, MADIPAKKAM, Madipakkam"
21.0,Maduravoyal,138,"KADAPAKKAM, MADURAVOYAL, MANGALAPURAM"
22.0,Mylapore,165,"Mylapore, R.K.Nagar"
23.0,Nanganallur,123,"NANGANALLUR, Selavoyal"
24.0,Neelankarai,176,"KOTTIVAKKAM, Kottivakkam, NEELANGARAI"
25.0,Nungambakkam,242,"Nungambakkam, Purasaiwakkam"
26.0,Pallikaranai,105,"PALLIKARANAI, Pallikaranai"
27.0,Perambur,197,"AJAX, Edapalayam, LENIN NAGAR, Perambur"
28.0,Peravallur,148,"Chinnasekkadu, Peravallur"
29.0,Perungudi,213,"KARAPAKKAM, Perungudi, SEMMANCHERI"
30.0,Porur,127,"KARAMBAKKAM, MENAMBEDU, PORUR"
31.0,Puzhal-Mathur,120,"Kallikuppam, Kunnur, MATHUR, PUZHAL"
32.0,R A Puram,168,"Alwarpet, Mandavelipakkam, R.A.Puram, Raja Annamalai Puram"
33.0,Ramapuram,162,"MUGALIVAKKAM, RAMAPURAM"
34.0,Royapettah,210,"Chindatripet, Jamaliya, Royapettah"
35.0,Royapuram,451,"Basin Bridge, Royapuram, V.O.C Nagar, VENKATAPURAM, Vyasarpadi"
36.0,Saidapet,311,"7H BUS STAND, M.M.D.A.Colony, M.T.H.ROAD, MANNURPET, PADI, Padi, Perumalpet, Puthagaram, Saidapet, Saidapet West, Soorapattu, Soorapattu Puthagaram Link Road, Urur"
37.0,Sholinganallur,220,"INJAMBAKKAM, SHOLINGANALLUR"
38.0,T Nagar,344,"Anna Salai, Nandanam, T.Nagar"
39.0,Taramani,51,"Taramani, Tharamani"
40.0,Teynampet,128,"Gopalapuram, Teynampet, Thousand Lights"
41.0,Thiruvanmiyur,236,"PALAVAKKAM, PATTARAVAKKAM, Palavakkam, Thiruvanmiyur"
42.0,Thoraipakkam,275,"THORAIPAKKAM, UTHANDI"
43.0,Tiruvottiyur,424,"ATHIPATTU, EDYANCHAVADI, ERNAVOOR, KATHIVAKKAM, SADAIYANKUPPAM, TIRUVOTTRIYUR"
44.0,Tondiarpet,547,"Kondithoppu, Kosapet, Nammalwarpet, New Washermen Pet, Old Washermen Pet, Old Washermenpet, Old Washermenpt, Tondiarpet"
45.0,Triplicane,193,"Chepauk, Triplicane"
46.0,Valasaravakkam,111,"MANAPAKKAM, VALASARAVAKKAM"
47.0,Velachery,386,"PALAVANTHANGAL, PUZHUTHIVAKKAM, Puzhuthivakkam, Velachery, Velachery
, Velachery East, Velachery East
, Velachery West, Velachery West
"
48.0,Villivakkam,240,"MUGAPPAIR, MUGAPPAIR EAST, MUGAPPAIR WEST, Mogappair, VIJAYALAKSHMIPURAM, Villivakkam"
49.0,Virugambakkam,237,"SATHANGADU, Vadapalani, Virugambakkam"
50.0,West Mambalam,339,"Kodambakkam, Saligramam, West Mambalam"
,TOTAL,11058,50 Ujjwal Areas
