Total Adambakkam Bins: 43
ID | Lat | Lng | Street
--------------------------------------------------
01 | 12.9948 | 80.205007 | OFFICERS COLONY MIDDLE STREET
02 | 12.993467 | 80.203151 | OFFICERS COLONY MIDDLE STREET
03 | 12.996584 | 80.206937 | CITY LINK ROAD
04 | 12.996591 | 80.206939 | CITY LINK ROAD
05 | 12.996587 | 80.20694 | CITY LINK ROAD
06 | 12.997101 | 80.2071 | CITY LINK ROAD
07 | 12.993773 | 80.199987 | WEST KARIKALAN 2ND STREET
08 | 12.995485 | 80.206653 | OFFICERS COLONY 3RD STREET
09 | 12.995809 | 80.204811 | OFFICERS COLONY 2ND STREET
10 | 12.995838 | 80.204817 | OFFICERS COLONY 2ND STREET
11 | 12.994365 | 80.199069 | GOOD SHED ROAD
12 | 12.993577 | 80.199438 | WEST KARIKALAN STREET
13 | 12.992202 | 80.198895 | WEST KARIKALAN STREET
14 | 12.992156 | 80.201268 | KARNEEGAR STREET
15 | 12.990883 | 80.201183 | KARNEEGAR STREET
16 | 12.989755 | 80.203444 | RAMAKRISHNAPURAM 2ND STREET
17 | 12.989704 | 80.203415 | RAMAKRISHNAPURAM 2ND STREET
18 | 12.990393 | 80.203564 | RAMAKRISHNAPURAM 1ST STREET
19 | 12.987599 | 80.200963 | PARTHASARATHI NAGAR 7TH STREET
20 | 12.995639 | 80.202498 | NERUPPU MEDAI
21 | 12.986529 | 80.199819 | SHANTHI NAGAR 9TH STREET
22 | 12.985073 | 80.199015 | SHANTHI NAGAR 7TH STREET
23 | 12.992821 | 80.204686 | BALAKRISHNAPURAM MAIN ROAD
24 | 12.992885 | 80.204632 | BALAKRISHNAPURAM MAIN ROAD
25 | 12.983848 | 80.197 | MEDAVAKKAM MAIN ROAD
26 | 12.987962 | 80.197609 | MEDAVAKKAM MAIN ROAD
27 | 12.990564 | 80.198419 | MEDAVAKKAM MAIN ROAD
28 | 12.993531 | 80.200761 | EAST KARIKALAN 1ST STREET
29 | 12.993553 | 80.200682 | EAST KARIKALAN 1ST STREET
30 | 12.995099 | 80.202487 | PAZHANDIAMMAN KOIL STREET
31 | 12.988276 | 80.199287 | SHANTHI NAGAR MAIN ROAD
32 | 12.988206 | 80.199299 | SHANTHI NAGAR MAIN ROAD
33 | 12.988418 | 80.198113 | SHANTHI NAGAR MAIN ROAD
34 | 12.992862 | 80.205218 | BALAKRISHNAPURAM 1ST STREET
35 | 12.99426 | 80.203482 | YADHAVAL STREET
36 | 12.989959 | 80.20246 | MASTAN GORI STREET
37 | 12.993761 | 80.200069 | MASTAN GORI STREET
38 | 12.993225 | 80.202772 | MASTAN GORI STREET
39 | 12.994397 | 80.203167 | MASTAN GORI STREET
40 | 12.99439 | 80.203185 | MASTAN GORI STREET
41 | 12.995778 | 80.204768 | OFFICERS COLONY 1ST STREET
42 | 12.994954 | 80.203767 | THIRUVALLUVAR MAIN ROAD
43 | 12.994995 | 80.203814 | THIRUVALLUVAR MAIN ROAD
