OBJECTID,ZONE_CODE,DIV_CODE,AREA_NAME,LOC_NAME,STREET_NAM,BIN_NO,LATITUDE,LONGTITUDE,LONGITUDE_POINT,LATITUDE_POINT,BIN_STATUS
1,N01,N001,KATHIVAKKAM,MUGATHUVARAKUPPAM,MUGATHUVARAKUPPAM 1 ST,S_W001_001,13.227447,80.326402,80.3264017,13.2274466,Full
2,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR IX ST,S_W001_001,13.224189,80.320426,80.3204261,13.2241891,Empty
3,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR VIII ST,S_W001_001,13.223617,80.320132,80.3201318,13.2236174,Half Full
4,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THALANKUPPAM MAIN BAZAR ROAD,S_W001_001,13.226809,80.324957,80.3249567,13.2268085,Full
5,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THALANKUPPAM MAIN BAZAR ROAD,S_W001_002,13.227246,80.325979,80.3259792,13.2272462,Full
6,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THAZHANKUPPAM COLONY 1ST STREET,S_W001_001,13.227678,80.327565,80.3275654,13.227678,Half Full
7,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR IV ST,S_W001_001,13.222337,80.320111,80.3201106,13.2223366,Full
8,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR VII ST,S_W001_001,13.221166,80.323788,80.3237884,13.2211661,Half Full
9,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XIII ST,S_W001_001,13.223494,80.327246,80.3272464,13.2234935,Full
10,N01,N001,KATHIVAKKAM,ULLAGANATHAPURAM,ULAGANATHAPURAM IV ST,S_W001_001,13.227179,80.325819,80.3258195,13.2271791,Empty
11,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR I ST,S_W001_001,13.223405,80.320062,80.3200619,13.2234051,Full
12,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XVIII ST,S_W001_001,13.225381,80.324899,80.3248992,13.225381,Full
13,N01,N001,KATHIVAKKAM,VOC NAGAR,V.O.C. Nagar 1st Block,S_W001_001,13.225385,80.320939,80.320939,13.2253848,Full
14,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THAZHANKUPPAM CHINNAMMAN KOVIL STREET,S_W001_001,13.228492,80.328018,80.3280175,13.2284918,Full
