Serial No,Area Name,Street Name,Latitude,Longitude,Bin Status
1,SIPCOT,Gangai Amman Kovil Street,12.83291,80.2282,half-full
2,SIPCOT,Green Park Street,12.83588,80.22503,full
3,SIPCOT,City Park Layout 1st Street,12.82513,80.22563,full
4,SIPCOT,City Park Layout 2nd Street,12.8255,80.2262,full
5,SIPCOT,Kazhipattur Village Cross Street,12.82359,80.22849,full
6,SIPCOT,Egattur Colony 1st Street,12.8341,80.2215,half-full
7,SIPCOT,Egattur Colony 2nd Street,12.8346,80.2223,half-full
8,SIPCOT,Navalur Nagar Street,12.8296,80.2178,half-full
9,SIPCOT,Siruseri Nagar 1st Street,12.8272,80.21928,full
10,SIPCOT,Siruseri Nagar 2nd Street,12.8268,80.2201,full
11,SIPCOT,Pudupakkam Colony Street,12.82332,80.19752,empty
12,SIPCOT,MR Radha Nagar Cross Street,12.8228,80.1983,full
13,SIPCOT,Renugambal Nagar Street,12.8315,80.2154,empty
14,SIPCOT,Krishna Nagar Street,12.8382,80.20405,half-full
15,SIPCOT,Murugan Nagar 1st Street,12.821,80.2235,full
16,SIPCOT,Murugan Nagar 2nd Street,12.8206,80.2243,full
17,SIPCOT,Amman Koil Cross Street,12.8368,80.2268,full
18,SIPCOT,Bharathi Nagar Street,12.8289,80.2096,full
19,SIPCOT,Kamaraj Nagar Street,12.8356,80.2187,half-full
20,SIPCOT,Anna Nagar Cross Street,12.8243,80.2271,full
21,SIPCOT,Gandhi Nagar 1st Street,12.8321,80.2062,full
22,SIPCOT,Gandhi Nagar 2nd Street,12.8325,80.207,half-full
23,SIPCOT,Nethaji Nagar Street,12.8278,80.231,full
24,SIPCOT,Periyar Nagar Street,12.8198,80.2198,half-full
25,SIPCOT,Vivekananda Nagar Street,12.8392,80.2121,empty
26,SIPCOT,Ambedkar Colony Street,12.8264,80.2028,full
27,SIPCOT,Selvi Nagar Street,12.8401,80.2245,full
28,SIPCOT,Thangam Nagar Street,12.8218,80.2165,full
29,SIPCOT,Vel Nagar Street,12.8374,80.2094,half-full
30,SIPCOT,Sundaram Colony Street,12.8252,80.2109,full
31,SIPCOT,Lakshmi Nagar Street,12.8412,80.217,half-full
32,SIPCOT,Saraswathi Nagar 1st Street,12.8234,80.2212,full
33,SIPCOT,Saraswathi Nagar 2nd Street,12.8238,80.222,empty
34,SIPCOT,Panchayat Back Street,12.8305,80.2321,empty
35,SIPCOT,Chellamuthu Street,12.8187,80.2256,full
36,SIPCOT,Muthamil Nagar Street,12.8423,80.2145,empty
37,SIPCOT,Rajiv Gandhi Nagar Street,12.8287,80.2138,full
38,SIPCOT,Kalaignar Nagar Street,12.8361,80.2291,full
39,SIPCOT,Ponmani Nagar Street,12.8215,80.2087,full
40,SIPCOT,Vinayagar Koil Cross Street,12.8348,80.2106,full
