Serial No,Area,Latitude,Longitude
1,Kelambakkam-Vandalur Rd,12.84064,80.15343
2,Kovilancheri,12.8315,80.162
3,Pudupakkam,12.80598,80.18955
4,Thaiyur,12.77096,80.21308
5,Kelambakkam,12.78988,80.22162
6,Kelambakkam,12.78625,80.22028
7,Kelambakkam,12.78617,80.22188
8,Padur,12.80533,80.22413
9,Kazhipattur,12.8197,80.23038
10,Navalur,12.83966,80.22768
11,Navalur,12.84487,80.22679
12,Navalur,12.8458,80.2263
13,Mambakkam,12.8276,80.1649
14,Kolapakkam,12.87063,80.10668
15,Sathya Sai Nagar,12.87074,80.17426
