Serial No,Area,Latitude,Longitude
1,Kelambakkam,12.785,80.2156
2,Kelambakkam,12.79258,80.21567
3,Kelambakkam,12.78987,80.22161
4,Kelambakkam,12.78478,80.21087
5,Kelambakkam,12.8012,80.228
6,Mambakkam,12.8276,80.1649
7,Vengambakkam,12.86276,80.12663
8,Kolapakkam,12.87063,80.10668
9,Perungalathur,12.90618,80.0964
10,Perungalathur,12.9098,80.0945
11,Perungalathur,12.9125,80.092
12,Vandalur,12.88079,80.08041
13,Vandalur,12.878,80.0785
14,Vandalur,12.8797,80.08035
15,Tambaram,12.9276,80.11788
16,Tambaram,12.92579,80.11789
17,Tambaram,12.92336,80.12073
18,Tambaram,12.92591,80.11562
19,Tambaram,12.93446,80.10076
